title,price,old_price,discount_offer,image_urls,images
Nokia 5.1 Copper (TA-1075) ,10990,nan,0,https://img.mvideo.ru/Pdb/30038857m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038857m.jpg', 'path': 'full/d8644a22e13660521918d90ca7e0f13fc2e52bd2.jpg', 'checksum': '78f2494f33079b438509db145468ef33'}]"
Digma HIT Q500 3G 8Gb Dark Red ,3490,nan,0,https://img.mvideo.ru/Pdb/30038475m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038475m.jpg', 'path': 'full/6a3dde23a08530b818171abd73b9c4f82843e456.jpg', 'checksum': 'c23f1a5215e894b8607f3050e4307983'}]"
Samsung Galaxy Note 9 512Gb Медь ,91990,nan,0,https://img.mvideo.ru/Pdb/30039469m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039469m.jpg', 'path': 'full/811749cef77599b64a5ac7b5ee32d2937d9e60a9.jpg', 'checksum': '302f1fc338db2e14ade5202720f249ef'}]"
Samsung Galaxy J2 Prime Silver (SM-G532F) ,6790,nan,0,https://img.mvideo.ru/Pdb/30026717m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30026717m.jpg', 'path': 'full/dc1c06fa4cf9eeca964528fe1ae79530f594874b.jpg', 'checksum': 'a323152aa95b80fd7d24ab69a7560416'}]"
Apple iPhone XS 512GB Gold (MT9N2RU/A) ,106990,116990,10000,https://img.mvideo.ru/Pdb/30040022m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040022m.jpg', 'path': 'full/b205f3a2f18bea4d21ec21be12ec68537a73af97.jpg', 'checksum': '1d7eac7d0473533b5298519ab763d234'}]"
OPPO Rx17 Neo Blue Comet (CPH1893) ,27990,29990,2000,https://img.mvideo.ru/Pdb/30041191m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30041191m.jpg', 'path': 'full/97a6d07cab3f3f438008d2de218a1d24aecb3b8a.jpg', 'checksum': 'deddf5c08a66926c57cfb66b4cf29352'}]"
Vivo Y85 4Gb+32Gb Black (1726) ,14990,nan,0,https://img.mvideo.ru/Pdb/30039922m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039922m.jpg', 'path': 'full/c6d304bc577b518c947f5e5445399c25011d8d61.jpg', 'checksum': '041034a4f50509d9439c0ed95f92ab9d'}]"
Apple iPhone XS 512GB Silver (MT9M2RU/A) ,106990,116990,10000,https://img.mvideo.ru/Pdb/30040021m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040021m.jpg', 'path': 'full/48451d10c608f5cc3c7a66f279a149f1c6125270.jpg', 'checksum': 'ba5ce86ea17d0a1b383cc569acc39ce0'}]"
Prestigio PSP5522DUO MUZE G5 LTE GOLD ,6490,nan,0,https://img.mvideo.ru/Pdb/30041860m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30041860m.jpg', 'path': 'full/0d6ca5d36b1e1b8bab0e8d303e4dd38ac619bff0.jpg', 'checksum': '5a321f8d231c4966432ac86f66688613'}]"
Prestigio PSP3495DUO MUZE V3 LTE BLACKRED ,4990,nan,0,https://img.mvideo.ru/Pdb/30041827m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30041827m.jpg', 'path': 'full/5ac3390c05ff2543277b6e379ed4b84f3e3c93e6.jpg', 'checksum': 'be7ed5d9a282266577ad4121535520b6'}]"
Jinga Picasso Note Black ,7990,nan,0,https://img.mvideo.ru/Pdb/30042581m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042581m.jpg', 'path': 'full/444d58d4936d7e571dde6b36fbecb1a125bac523.jpg', 'checksum': '1db9d959c854363810df1c56b0d2fcae'}]"
Apple iPhone XR 256GB White (MRYL2RU/A) ,70990,76990,6000,https://img.mvideo.ru/Pdb/30039932m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039932m.jpg', 'path': 'full/1758df070b196c3ebfe55bb7d96b74aaa4cb2f55.jpg', 'checksum': '8bf923831dcc62e2b70bfa5bfe3e99d7'}]"
Sony Xperia XZ Premium Dual Black (G8142) ,29990,nan,0,https://img.mvideo.ru/Pdb/30028318m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30028318m.jpg', 'path': 'full/d4b027513705acfcff9bcdff13a4c6f884f1571d.jpg', 'checksum': 'd982a6981a9e9d8f6cff3c2f1fe875db'}]"
Nokia 8 DS Cooper (TA-1004) ,19990,nan,0,https://img.mvideo.ru/Pdb/30030041m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30030041m.jpg', 'path': 'full/e8d74fe66ffd5997da7d79214f28ec25d395323b.jpg', 'checksum': '95e5e5a0a1157b8ccd8b9a6410aa399b'}]"
Irbis SP511 Black ,3290,nan,0,https://img.mvideo.ru/Pdb/30042070m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042070m.jpg', 'path': 'full/71184cbc30651a60d2b13563be0257051d6fe577.jpg', 'checksum': 'c7b6626ffd5f8e6014a386a06126d776'}]"
Nokia 5.1 Blue (TA-1075) ,10990,nan,0,https://img.mvideo.ru/Pdb/30038856m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038856m.jpg', 'path': 'full/af032df9c51c71b25eced4edd3a6ca302a16727b.jpg', 'checksum': '91e6a72ea6b9de6ecaa1f7a0c2d1195d'}]"
Tecno Camon 11 Aqua Blue ,8990,nan,0,https://img.mvideo.ru/Pdb/30041592m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30041592m.jpg', 'path': 'full/a89184ecbc01650355b01219ca3358a74aca2c98.jpg', 'checksum': '8badd6c5378b5435c7d9e3e25693e64f'}]"
Apple iPhone XR 256GB Yellow (MRYN2RU/A) ,70990,76990,6000,https://img.mvideo.ru/Pdb/30039934m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039934m.jpg', 'path': 'full/965a32b57bbe14471da0b3507502ac83c7a8feea.jpg', 'checksum': '00b11e262cbff9626837a9b8ccf8d060'}]"
Apple iPhone 7 Plus 128Gb Gold (MN4Q2RU/A) ,51990,53690,1700,https://img.mvideo.ru/Pdb/30026221m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30026221m.jpg', 'path': 'full/1c3aa244c575622f59553e082cfa2ffde1c35696.jpg', 'checksum': 'dea9e812b560cde80c2c77338ed67f23'}]"
Apple iPhone XS 512GB Space Grey (MT9L2RU/A) ,106990,116990,10000,https://img.mvideo.ru/Pdb/30040020m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040020m.jpg', 'path': 'full/12749774832d8e5349164c5a7c194eeab7f5a0d7.jpg', 'checksum': '963b626f6021b8193e8ab96740d28452'}]"
Prestigio Muze E7 Duo LTE Black (PSP7512) ,4990,nan,0,https://img.mvideo.ru/Pdb/30039849m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039849m.jpg', 'path': 'full/b03e6dbccb2543c9026e12a0aedbcf0d691ba5df.jpg', 'checksum': 'a0b06f2ca32f91af919e39458fc91b1b'}]"
Jinga Optim 4G Black ,4490,nan,0,https://img.mvideo.ru/Pdb/30042578m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042578m.jpg', 'path': 'full/5546486d8f6df8535403a19805ce1f1a7b550670.jpg', 'checksum': '7ef4884e9b56f119dea6b3fc5010b19b'}]"
Samsung Galaxy S8 64Gb Желтый топаз ,39990,nan,0,https://img.mvideo.ru/Pdb/30027819m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30027819m.jpg', 'path': 'full/ccabe8b17ab7b23fc8682d9c73cecb3ae5c58158.jpg', 'checksum': '8bb40bd3c8b15db0ba45ee64d243e3c8'}]"
Prestigio Muze X5 Duo LTE Gold (PSP5518) ,4490,nan,0,https://img.mvideo.ru/Pdb/30036908m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30036908m.jpg', 'path': 'full/134e69ff58de34cbfe42e6c10161f0444ce9cbfc.jpg', 'checksum': 'bcdb3da047f1bad38b55e3838dc43c2d'}]"
Prestigio Wize Q3 Duo Red (PSP3471) ,3990,nan,0,https://img.mvideo.ru/Pdb/30036910m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30036910m.jpg', 'path': 'full/68f918a7466e1a433f0ea5bf381c61f34ba63766.jpg', 'checksum': '165e5f7c33ec6047d6291893bc65cc27'}]"
Prestigio Muze X5 Duo LTE Black (PSP5518) ,4490,nan,0,https://img.mvideo.ru/Pdb/30036909m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30036909m.jpg', 'path': 'full/2c5cd830e61bec5d4c55734d5f76f6d9585ac6b2.jpg', 'checksum': 'a049029bce1335e70cdf25bf4ac34db2'}]"
Digma VOX E502 4G 16Gb Dark Blue ,4590,nan,0,https://img.mvideo.ru/Pdb/30038471m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038471m.jpg', 'path': 'full/402fd20f6ce7c384c7776a8cef3b75f3a3ce181a.jpg', 'checksum': '8d8dbc002705f8865590bc9dbee344be'}]"
Apple iPhone 7 Plus 128Gb Silver (MN4P2RU/A) ,51990,53690,1700,https://img.mvideo.ru/Pdb/30026220m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30026220m.jpg', 'path': 'full/717651d893f1dbd4a2625bb8c74bcb6d8fd92cb6.jpg', 'checksum': '6482f43fa91718473b6c4748c4ff8fd6'}]"
Xiaomi Mi 8 Lite 6/128GB Midnight Black ,22990,25990,3000,https://img.mvideo.ru/Pdb/30042078m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042078m.jpg', 'path': 'full/c70c7f2357c3563540c95428efe470d4605cd6a0.jpg', 'checksum': 'c37ae96a955f57a1397206abca71745f'}]"
OnePlus 6 64Gb+6Gb Mirror Black ,32990,nan,0,https://img.mvideo.ru/Pdb/30038686m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038686m.jpg', 'path': 'full/20c35c014ca0f98fa2431e71ceeb44a3a3a538f6.jpg', 'checksum': '70f660dfa8494e4f2daaefb85cd60f83'}]"
Prestigio PSP3406DUO WIZE Y3 GOLD ,2990,nan,0,https://img.mvideo.ru/Pdb/30041861m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30041861m.jpg', 'path': 'full/7c3c45e2ee816b8130b98357de42821eedb69327.jpg', 'checksum': 'f40c17dfbfd0e3b32630f2901f733d92'}]"
Honor 10 128Gb Phantom Green (COL-L29) ,27990,29990,2000,https://img.mvideo.ru/Pdb/30038803m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038803m.jpg', 'path': 'full/4fc0d6b027d1d685720c76c9f80a028081a8ed22.jpg', 'checksum': '2bb7cd9ba8a95e67475bb63e82ccd231'}]"
Nokia 3.1 Plus DS Marengo (TA-1104) ,12990,nan,0,https://img.mvideo.ru/Pdb/30041039m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30041039m.jpg', 'path': 'full/0bb7f2dd1a1feb6e6a34bd9ddadf676e707f3113.jpg', 'checksum': 'df0e12e8991ccaef115a688cada3054b'}]"
Nokia 8 DS Tempered Blue (TA-1004) ,19990,nan,0,https://img.mvideo.ru/Pdb/30030042m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30030042m.jpg', 'path': 'full/eb2b780180cd11bb350dde4dec84966dbca3fb94.jpg', 'checksum': '00a0f712a680a04311ab39bc4cbf224a'}]"
Prestigio Muze G7 Duo LTE Black (PSP7550) ,9990,nan,0,https://img.mvideo.ru/Pdb/30038871m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038871m.jpg', 'path': 'full/822bf0dd007fdeee0131270fe4dc7731a2026639.jpg', 'checksum': '07aaf25ff069c5a0d5d8f9a7abe676eb'}]"
OPPO A3s Red (CPH1803) ,11990,12990,1000,https://img.mvideo.ru/Pdb/30039873m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039873m.jpg', 'path': 'full/b013c95e5a54a48a60574420097ab7ac476795a3.jpg', 'checksum': 'a8c77f786d2a5e1bea2d456edce312f9'}]"
Sony Xperia XA2 DS Black (H4113) ,19990,nan,0,https://img.mvideo.ru/Pdb/30032104m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30032104m.jpg', 'path': 'full/550848abc7abbe48e743490913bbe6423e25339b.jpg', 'checksum': '7d290f7f53d95953e6ccbb21bdf6cb37'}]"
Huawei Y3 2017 Gray (CRO-U00) ,5790,nan,0,https://img.mvideo.ru/Pdb/30029367m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30029367m.jpg', 'path': 'full/0b6fb39e9bf643370b2f36a616dfcf8fb4381b0f.jpg', 'checksum': 'e83dc88c2cfac06659df4221bc4de065'}]"
Nokia 8 DS Steel (TA-1004) ,19990,nan,0,https://img.mvideo.ru/Pdb/30030043m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30030043m.jpg', 'path': 'full/d046192786e13dbedb4828adaed76383c63e55c2.jpg', 'checksum': '3e28f25d4d8833bed553fada10a9541c'}]"
Xiaomi Mi A2 64Gb Black ,19990,nan,0,https://img.mvideo.ru/Pdb/30040790m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040790m.jpg', 'path': 'full/6f13d10907a57a10e1083c4dd2903f52bd71f522.jpg', 'checksum': 'ff723b08e5763f1196894a685b13ea7b'}]"
TP-Link Neffos C5A Dark Grey (TP703A) ,3990,nan,0,https://img.mvideo.ru/Pdb/30036793m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30036793m.jpg', 'path': 'full/3d1dcf4866e250b750a4de62be5b3e756538dc8d.jpg', 'checksum': '2174030d0ae2d665219858898df53354'}]"
Xiaomi Redmi Note 6 Pro 3/32GB Rose Gold ,16990,17990,1000,https://img.mvideo.ru/Pdb/30042079m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042079m.jpg', 'path': 'full/64074d4749d48da68dbb57db19f5b35738784f57.jpg', 'checksum': '0c31bb5ca3c550b3a0ecb9c70d594632'}]"
Prestigio Muze E7 Duo LTE Blue (PSP7512) ,4990,nan,0,https://img.mvideo.ru/Pdb/30039850m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039850m.jpg', 'path': 'full/daa62e54ff29cba23eac68fa20df2a8070e20616.jpg', 'checksum': '75e8e67bf198c3e3ca66d34c679b7d28'}]"
Prestigio Wize Q3 Duo Blue (PSP3471) ,3990,nan,0,https://img.mvideo.ru/Pdb/30036912m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30036912m.jpg', 'path': 'full/05512993dd94e71651286c560c29782e85d18f83.jpg', 'checksum': '31187208faf12a97923775996dabf6bf'}]"
TP-Link Neffos X9 Moonlight Silver (TP913A) ,9990,nan,0,https://img.mvideo.ru/Pdb/30040372m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040372m.jpg', 'path': 'full/8ee8a60bb8b49449fe7ab49895058a0d2de7d553.jpg', 'checksum': '7ce7675adb7319507183ae8974dd3d9d'}]"
Xiaomi Mi A2 64Gb Gold ,19990,nan,0,https://img.mvideo.ru/Pdb/30040791m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30040791m.jpg', 'path': 'full/c8782deb3c95c0a43d80c4b721295f5359473cef.jpg', 'checksum': 'b8a56f32bb51202a49bf860b2b55b7eb'}]"
